fip_code,gathering_size_500_to_101,gathering_size_100_to_26,gathering_size_25_to_11,gathering_size_10_0,school_closure,closing_of_public_venues,non-essential_services_closure,social_distancing,shelter_in_place,religious_gatherings_banned,lockdown
25017,2020-03-13,2020-03-17,2020-03-17,2020-03-24,2020-03-17,2020-03-23,2020-03-24,2020-03-13,2020-03-24,,
25021,2020-03-13,2020-03-17,2020-03-17,2020-03-24,2020-03-16,2020-03-23,2020-03-24,2020-03-13,2020-03-24,,
25023,2020-03-13,2020-03-17,2020-03-17,2020-03-24,2020-03-16,2020-03-23,2020-03-24,2020-03-13,2020-03-24,,
25025,2020-03-17,2020-03-17,2020-03-24,2020-03-24,2020-03-16,,,,2020-03-24,,
25027,2020-03-13,2020-03-17,2020-03-17,2020-03-24,2020-03-13,2020-03-23,2020-03-24,2020-03-13,2020-03-24,,
26049,2020-03-13,2020-03-16,,,2020-03-16,2020-03-16,2020-03-22,2020-03-16,2020-03-23,,
26065,2020-03-13,2020-03-17,,,2020-03-16,2020-03-16,2020-03-22,2020-03-25,2020-03-24,,
26075,2020-03-13,2020-03-17,,,2020-03-16,2020-03-16,2020-03-22,2020-03-25,2020-03-24,,
26081,2020-03-13,2020-03-17,,,2020-03-16,2020-03-16,2020-03-22,2020-03-25,2020-03-24,,
26093,2020-03-13,2020-03-17,,,2020-03-16,2020-03-16,2020-03-22,2020-03-25,2020-03-24,,
26099,2020-03-13,2020-03-17,,,2020-03-16,2020-03-16,2020-03-22,2020-03-25,2020-03-24,,
26115,2020-03-13,2020-03-17,,,2020-03-16,2020-03-16,2020-03-22,2020-03-25,2020-03-24,,
26125,,,,,2020-03-16,,2020-03-22,2020-03-23,2020-03-23,2020-03-23,
26145,2020-03-13,2020-03-17,,,2020-03-16,2020-03-16,2020-03-22,2020-03-25,2020-03-24,,
26147,2020-03-13,2020-03-17,,,2020-03-16,2020-03-16,2020-03-22,2020-03-25,2020-03-24,,
26161,2020-03-13,2020-03-17,,,2020-03-16,2020-03-16,2020-03-22,2020-03-25,2020-03-24,,
26163,2020-03-13,2020-03-17,,,2020-03-16,2020-03-16,2020-03-22,2020-03-25,2020-03-24,,
27053,,,,,2020-03-18,2020-03-26,2020-03-26,2020-03-26,2020-03-27,,
27109,,,,,2020-03-18,2020-03-27,2020-03-27,2020-03-27,2020-03-27,,
27123,,,,,2020-03-18,2020-03-27,2020-03-27,2020-03-27,2020-03-27,,
