approxDays,Urban,Frac65Plus,PopDensity,gathering_size_500_to_101,gathering_size_100_to_26,gathering_size_25_to_11,gathering_size_10_0,school_closure,closing_of_public_venues,non-essential_services_closure,social_distancing,shelter_in_place,religious_gatherings_banned,lockdown,flights_prev_week,avg_temp_prev_week,casesPer1M
15,8,0.245367371,33.86788147,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,0
15,8,0.132030915,13.02518071,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,0
15,3,0.147247351,293.8699265,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,10.6743522
15,3,0.180059936,225.7080746,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,51.96784922
15,1,0.140789796,124.1518491,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,44.59607109
15,3,0.163852181,393.4234651,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,29.23634663
15,3,0.156638032,163.8664288,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,38.26506209
15,6,0.222063643,54.12194173,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,0
15,1,0.179854525,315.0932092,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,125.2828075
15,3,0.185153203,143.2335602,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,174.6453729
15,6,0.181033897,40.1662201,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,0
15,2,0.137238091,453.2977848,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,132.7521738
15,1,0.141325536,622.7445787,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,76.79130486
15,1,0.186542355,733.2301295,1,1,1,1,1,1,0,1,0,1,0,1,3.653294312,76.9093363
15,1,0.136050268,3926.590802,1,1,1,1,1,1,1,1,1,1,0,1,3.653294312,256.2747772
15,9,0.25431426,5.352481052,0,0,0,0,0,0,1,1,0,0,0,0,3.981195836,0
15,6,0.122284738,34.077533,0,0,0,0,0,0,1,1,0,0,0,0,3.981195836,0
15,9,0.253218884,2.270559983,0,0,0,0,0,0,1,1,0,0,0,0,3.981195836,0
15,9,0.252730109,1.489608182,0,0,0,0,0,0,1,1,0,0,0,0,3.981195836,0
15,6,0.219882056,23.19632042,0,0,0,0,0,0,1,1,0,0,0,0,3.981195836,0
15,9,0.07400564,7.405326967,0,0,0,0,0,0,1,1,0,0,0,0,3.981195836,0
15,5,0.171609523,22.95114505,0,0,0,0,0,0,1,1,0,0,0,0,3.981195836,50.86987486
15,9,0.189711226,6.3983574,0,0,0,0,0,0,1,1,0,0,0,0,3.981195836,0
15,6,0.200352182,4.543076786,0,0,0,0,0,0,1,1,0,0,0,0,3.981195836,0
15,9,0.211553891,3.90453674,0,0,0,0,0,0,1,1,0,0,0,0,3.981195836,0
15,9,0.218814849,6.964394393,0,0,0,0,0,0,1,1,0,0,0,0,3.981195836,0
15,9,0.094681572,2.564182745,0,0,0,0,0,0,1,1,0,0,0,0,3.981195836,0
15,9,0.233476395,2.373453181,0,0,0,0,0,0,1,1,0,0,0,0,3.981195836,0
15,7,0.208339163,10.48799171,0,0,0,0,0,0,1,1,0,0,0,0,3.981195836,0
15,9,0.232758621,0.957024643,0,0,0,0,0,0,1,1,0,0,0,0,3.981195836,0
15,9,0.158335514,2.326831885,0,0,0,0,0,0,1,1,0,0,0,0,3.981195836,261.7115938
